1,2,3,4,5,6,7
cubic_-0.1_0.3_6.3_28.csv,135,28,"[-0.1, 0.3, 6.3, -4.7]","[-0.10000000000160231, 0.29999999996003457, 6.300000000028218, -4.6999999993892025]",7,1.6838029909158775e-17
cubic_-0.1_5.3_-6.8_26.csv,123,26,"[-0.1, 5.3, -6.8, 5.6]","[-0.09999999997244137, 5.300000001419352, -6.800000000793515, 5.599999979025169]",6,2.0030799742270606e-14
cubic_-0.2_5.1_5.0_9.csv,42,9,"[-0.2, 5.1, 5.0, -0.9]","[-0.19999999995545853, 5.100000000935091, 4.9999999991049, -0.9000000145972916]",9,2.8373032849705344e-15
cubic_-0.6_6.0_1.7_27.csv,128,27,"[-0.6, 6.0, 1.7, -4.3]","[-0.6000000003138868, 5.999999999582051, 1.7000000056516953, -4.299999994102179]",5,5.8696448635936065e-15
cubic_-1.2_-6.3_3.8_26.csv,126,26,"[-1.2, -6.3, 3.8, 8.9]","[-1.1999999999987376, -6.300000000008605, 3.7999999999778846, 8.900000000132758]",6,9.304857914457152e-19
cubic_-1.6_-1.7_-8.6_27.csv,128,27,"[-1.6, -1.7, -8.6, -9.8]","[-1.6000000000043986, -1.7000000000932691, -8.599999999936374, -9.799999998606701]",6,8.572005758523852e-17
cubic_-1.7_6.0_-5.9_11.csv,52,11,"[-1.7, 6.0, -5.9, 7.7]","[-1.7000000001251216, 6.000000002124404, -5.899999998256598, 7.699999967825202]",7,1.9100597887699858e-14
cubic_-1.7_7.9_-2.0_5.csv,25,5,"[-1.7, 7.9, -2.0, -4.0]","[-1.6999999999747941, 7.900000000518013, -2.0000000002602016, -4.000000007850694]",10,4.750665161564197e-16
cubic_-1.8_10.0_-0.1_11.csv,53,11,"[-1.8, 10.0, -0.1, 8.8]","[-1.8000000000073024, 10.000000000919178, -0.09999999981986592, 8.799999985267828]",7,3.921813440506202e-15
cubic_-1.9_-3.2_0.6_23.csv,111,23,"[-1.9, -3.2, 0.6, -5.9]","[-1.8999999999450092, -3.200000001144232, 0.5999999991531285, -5.899999982478651]",6,1.1481178866649057e-14
cubic_-1.9_-4.8_-0.6_5.csv,23,5,"[-1.9, -4.8, -0.6, 0.3]","[-1.9000000001670745, -4.8000000026214735, -0.5999999964575685, 0.30000004504920064]",8,1.6245973837272412e-14
cubic_-2.1_-1.7_7.3_6.csv,30,6,"[-2.1, -1.7, 7.3, 4.0]","[-2.0999999999352177, -1.700000002220522, 7.299999998431486, 4.000000034970465]",8,1.2405247329011327e-14
cubic_-2.2_6.6_5.8_19.csv,91,19,"[-2.2, 6.6, 5.8, -5.9]","[-2.1999999997053514, 6.599999999409853, 5.799999994773217, -5.899999991386807]",6,4.28980762116884e-15
cubic_-2.3_-6.5_8.7_9.csv,43,9,"[-2.3, -6.5, 8.7, 5.0]","[-2.299999999784285, -6.4999999979666105, 8.699999996927591, 4.999999970930724]",7,1.220153096317722e-14
cubic_-2.4_-9.9_-8.0_7.csv,35,7,"[-2.4, -9.9, -8.0, 9.7]","[-2.399999999998106, -9.899999999578474, -8.00000000008326, 9.699999992999857]",8,6.274054881156248e-16
cubic_-2.5_1.4_-5.2_28.csv,135,28,"[-2.5, 1.4, -5.2, 4.2]","[-2.499999999985136, 1.3999999998030657, -5.200000000272692, 4.2000000029824145]",6,4.3556421195134483e-16
cubic_-2.5_1.9_-4.9_22.csv,103,22,"[-2.5, 1.9, -4.9, -6.2]","[-2.5000000000186797, 1.8999999991965297, -4.899999999863257, -6.199999987994375]",6,5.5350502255901065e-15
cubic_-2.6_-3.3_-1.2_14.csv,66,14,"[-2.6, -3.3, -1.2, 1.2]","[-2.5999999999595675, -3.300000002120753, -1.2000000003248386, 1.200000030892717]",6,2.4197089391687672e-14
cubic_-2.7_-2.4_-2.2_20.csv,95,20,"[-2.7, -2.4, -2.2, -3.3]","[-2.6999999999992235, -2.4000000000683435, -2.200000000006235, -3.2999999989541093]",7,3.6999665753107925e-17
cubic_-3.2_3.4_7.0_23.csv,111,23,"[-3.2, 3.4, 7.0, -8.6]","[-3.199999999995514, 3.399999999853605, 6.999999999907813, -8.599999997816319]",7,1.848642624633882e-16
cubic_-3.7_-9.0_-8.8_28.csv,133,28,"[-3.7, -9.0, -8.8, -2.6]","[-3.7000000000044344, -8.999999999794694, -8.799999999924678, -2.6000000031973216]",6,4.812462890068564e-16
cubic_-4.2_7.0_0.8_18.csv,86,18,"[-4.2, 7.0, 0.8, -8.0]","[-4.1999999999572735, 6.999999999381238, 0.7999999992438892, -7.999999990417909]",7,2.887745393633938e-15
cubic_-4.4_0.2_-2.1_15.csv,70,15,"[-4.4, 0.2, -2.1, 6.7]","[-4.399999999991661, 0.20000000014663397, -2.1000000001251107, 6.699999997814428]",7,1.199544676108731e-16
cubic_-4.7_2.9_6.2_7.csv,34,7,"[-4.7, 2.9, 6.2, -3.8]","[-4.699999999056551, 2.900000004012838, 6.199999983504852, -3.800000057883983]",6,4.435150351563638e-14
cubic_-4.8_-0.8_-1.4_12.csv,57,12,"[-4.8, -0.8, -1.4, 0.1]","[-4.800000000038176, -0.8000000012838536, -1.3999999991331384, 0.10000001981700403]",7,8.055284717823463e-15
cubic_-4.8_-2.5_4.5_10.csv,46,10,"[-4.8, -2.5, 4.5, -8.7]","[-4.799999999999607, -2.500000001489295, 4.500000000258691, -8.699999975827884]",6,9.213336247377637e-15
cubic_-4.8_-5.4_-7.9_22.csv,104,22,"[-4.8, -5.4, -7.9, 5.5]","[-4.8000000000095335, -5.400000000146453, -7.899999999830287, 5.50000000215675]",7,1.835624648856711e-16
cubic_-4.9_-4.6_-1.5_20.csv,96,20,"[-4.9, -4.6, -1.5, -2.1]","[-4.899999999971149, -4.599999999616636, -1.500000000426228, -2.1000000058210224]",6,1.1160696164659573e-15
cubic_-4.9_6.8_7.1_7.csv,33,7,"[-4.9, 6.8, 7.1, 6.0]","[-4.900000000005062, 6.799999999632925, 7.100000000041001, 6.000000005971554]",8,4.0289498530761356e-16
cubic_-4.9_7.2_2.7_17.csv,81,17,"[-4.9, 7.2, 2.7, -0.4]","[-4.900000000002702, 7.199999999851902, 2.700000000043372, -0.39999999773486344]",7,1.482912083613587e-16
cubic_-5.0_-9.5_8.7_24.csv,114,24,"[-5.0, -9.5, 8.7, -0.2]","[-5.000000000024583, -9.499999998658968, 8.700000000055024, -0.20000001996008188]",6,1.5083910718097943e-14
cubic_-5.1_-8.3_8.2_20.csv,95,20,"[-5.1, -8.3, 8.2, -4.4]","[-5.099999999988357, -8.299999999734899, 8.199999999771672, -4.400000004079878]",6,5.056156667403448e-16
cubic_-5.2_-6.1_-8.7_18.csv,87,18,"[-5.2, -6.1, -8.7, 4.4]","[-5.199999999855801, -6.099999998818566, -8.700000002355397, 4.399999982854313]",6,9.626208558429181e-15
cubic_-5.3_5.6_1.7_7.csv,31,7,"[-5.3, 5.6, 1.7, 5.1]","[-5.300000000057388, 5.600000000474906, 1.7000000011785577, 5.099999991778586]",8,6.77076805489288e-16
cubic_-5.4_-9.0_6.4_8.csv,38,8,"[-5.4, -9.0, 6.4, 2.4]","[-5.399999999947923, -9.000000002643556, 6.3999999993833585, 2.400000043171973]",7,2.623333873437471e-14
cubic_-5.8_-5.6_-9.0_26.csv,122,26,"[-5.8, -5.6, -9.0, -2.5]","[-5.799999999955306, -5.600000000820002, -9.00000000082513, -2.499999987596254]",6,6.69252920428959e-15
cubic_-5.8_9.0_-10.0_8.csv,38,8,"[-5.8, 9.0, -10.0, 8.5]","[-5.800000000008792, 8.999999999407079, -9.999999999846652, 8.50000000863343]",9,8.995324171245052e-16
cubic_-6.7_-4.4_1.0_26.csv,122,26,"[-6.7, -4.4, 1.0, 5.9]","[-6.699999999982299, -4.399999998740516, 0.9999999997413327, 5.899999981018921]",6,1.5636587511772486e-14
cubic_-7.4_7.7_9.9_26.csv,122,26,"[-7.4, 7.7, 9.9, -1.2]","[-7.399999999967211, 7.7000000011954866, 9.899999999511909, -1.2000000183135031]",6,1.4151871110399328e-14
cubic_-7.7_-2.7_7.2_12.csv,57,12,"[-7.7, -2.7, 7.2, -1.3]","[-7.699999999949031, -2.700000001040627, 7.199999999084684, -1.299999983435183]",6,5.232273134144757e-15
cubic_-8.0_-4.6_-3.4_11.csv,53,11,"[-8.0, -4.6, -3.4, 3.1]","[-8.00000000002568, -4.599999999639122, -3.3999999996256856, 3.0999999945458008]",7,6.111844235138963e-16
cubic_-8.2_-3.3_-4.8_5.csv,24,5,"[-8.2, -3.3, -4.8, -7.6]","[-8.20000000002976, -3.3000000007535184, -4.799999999249984, -7.599999987677908]",8,1.4982532669335025e-15
cubic_-8.3_1.3_-8.1_11.csv,53,11,"[-8.3, 1.3, -8.1, -4.5]","[-8.299999999972066, 1.3000000006718642, -8.10000000059929, -4.50000001055222]",7,2.045317417423328e-15
cubic_-8.6_-8.9_4.5_29.csv,140,29,"[-8.6, -8.9, 4.5, -5.5]","[-8.600000000012338, -8.900000000134302, 4.500000000207977, -5.499999998029256]",7,1.8750864419624068e-16
cubic_-8.8_6.9_8.2_23.csv,109,23,"[-8.8, 6.9, 8.2, 4.7]","[-8.79999999999499, 6.900000000131937, 8.199999999904378, 4.699999997951342]",6,1.6466905979375147e-16
cubic_-9.1_0.0_-4.8_27.csv,129,27,"[-9.1, 0.0, -4.8, 1.2]","[-9.099999999998582, -4.3050913309707924e-11, -4.800000000030558, 1.200000000652132]",7,2.0081483417294365e-17
cubic_-9.2_-10.0_1.8_9.csv,41,9,"[-9.2, -10.0, 1.8, -1.2]","[-9.199999999997683, -10.00000000018309, 1.7999999999525338, -1.199999997201543]",8,1.085550729727839e-16
cubic_-9.2_-3.9_-8.3_26.csv,125,26,"[-9.2, -3.9, -8.3, 1.9]","[-9.200000000001141, -3.9000000001780606, -8.2999999999932, 1.9000000025541806]",6,2.891743056471214e-16
cubic_-9.2_8.8_2.0_26.csv,122,26,"[-9.2, 8.8, 2.0, -6.5]","[-9.199999999995939, 8.799999999908685, 1.9999999999345939, -6.49999999856779]",6,8.687408464654991e-17
cubic_-9.3_-6.8_1.3_20.csv,97,20,"[-9.3, -6.8, 1.3, -9.6]","[-9.299999999942967, -6.80000000037709, 1.299999999006349, -9.59999999430905]",6,1.1107013977571661e-15
cubic_-9.4_1.9_9.5_20.csv,96,20,"[-9.4, 1.9, 9.5, 5.5]","[-9.40000000001651, 1.8999999987635625, 9.500000000413193, 5.500000019091517]",6,1.286353354357749e-14
cubic_-9.6_4.0_-6.8_31.csv,149,31,"[-9.6, 4.0, -6.8, -2.3]","[-9.600000000009482, 4.00000000027334, -6.799999999797594, -2.3000000042495983]",6,9.472539951243935e-16
cubic_-9.7_-8.8_5.1_9.csv,43,9,"[-9.7, -8.8, 5.1, 3.2]","[-9.700000000024167, -8.799999999717969, 5.1000000003813275, 3.1999999957033043]",8,2.496348458988792e-16
cubic_-9.9_-3.8_-0.4_7.csv,35,7,"[-9.9, -3.8, -0.4, -5.3]","[-9.900000000013236, -3.799999999552548, -0.39999999972923633, -5.3000000075696665]",8,7.327897100368484e-16
cubic_0.0_2.9_-6.1_11.csv,54,11,"[0.0, 2.9, -6.1, -8.6]","[9.664765271017947e-12, 2.89999999964669, -6.100000000013193, -8.599999994805673]",7,4.941033335999242e-16
cubic_0.2_-2.9_2.3_5.csv,23,5,"[0.2, -2.9, 2.3, 0.1]","[0.19999999996286785, -2.9000000002788373, 2.3000000008359733, 0.1000000050525805]",8,2.3403219403644163e-16
cubic_0.7_4.2_-6.8_16.csv,74,16,"[0.7, 4.2, -6.8, 4.3]","[0.7000000000410446, 4.200000000413829, -6.800000000816744, 4.299999993371128]",7,1.1640896327054847e-15
cubic_1.2_4.4_-9.0_22.csv,106,22,"[1.2, 4.4, -9.0, -5.6]","[1.199999999997955, 4.399999999924157, -8.999999999952461, -5.599999998830477]",7,5.131219520339934e-17
cubic_1.9_-2.2_-1.5_31.csv,146,31,"[1.9, -2.2, -1.5, 7.5]","[1.9000000000112112, -2.19999999989509, -1.5000000001863254, 7.499999998465216]",7,1.2531929629739512e-16
cubic_2.3_-1.3_-0.6_24.csv,114,24,"[2.3, -1.3, -0.6, -9.0]","[2.2999999999921052, -1.3000000009291401, -0.599999999790377, -8.999999985264976]",6,8.76023222728241e-15
cubic_2.3_-1.5_9.5_7.csv,31,7,"[2.3, -1.5, 9.5, -5.7]","[2.3000000000686005, -1.500000000559477, 9.499999998527597, -5.699999990704657]",9,9.208981315830815e-16
cubic_2.9_-3.2_1.6_24.csv,112,24,"[2.9, -3.2, 1.6, -0.6]","[2.8999999999987796, -3.1999999999803364, 1.6000000000126462, -0.6000000002675656]",8,2.8733594466844777e-18
cubic_2.9_-6.1_3.3_15.csv,70,15,"[2.9, -6.1, 3.3, 0.5]","[2.899999999999386, -6.099999999499582, 3.300000000122055, 0.4999999924575399]",6,1.4309733898625089e-15
cubic_2.9_5.8_-6.3_29.csv,137,29,"[2.9, 5.8, -6.3, -4.8]","[2.899999999997379, 5.799999999734929, -6.299999999911013, -4.799999995910951]",7,7.292736770322079e-16
cubic_3.2_3.1_2.0_9.csv,41,9,"[3.2, 3.1, 2.0, -1.0]","[3.1999999999988336, 3.1000000006922277, 1.9999999999493014, -1.0000000103379716]",8,1.3685399149820573e-15
cubic_3.3_-0.2_2.0_22.csv,107,22,"[3.3, -0.2, 2.0, -5.9]","[3.300000000038593, -0.19999999900692914, 1.9999999992024806, -5.900000015085118]",6,8.428711898189261e-15
cubic_3.3_-4.3_-0.9_13.csv,62,13,"[3.3, -4.3, -0.9, -0.9]","[3.299999999987917, -4.300000000397768, -0.8999999998379531, -0.8999999939726555]",7,7.0832051193842e-16
cubic_3.3_2.7_-9.0_28.csv,133,28,"[3.3, 2.7, -9.0, 6.5]","[3.2999999999845038, 2.6999999996047785, -8.99999999981301, 6.5000000057652505]",6,1.5859568478173554e-15
cubic_3.3_3.2_-7.1_20.csv,93,20,"[3.3, 3.2, -7.1, 3.4]","[3.300000000002111, 3.200000000044237, -7.100000000025318, 3.3999999993483705]",7,1.4290381359944542e-17
cubic_3.8_5.0_-5.3_29.csv,139,29,"[3.8, 5.0, -5.3, 3.7]","[3.800000000005944, 5.000000000418059, -5.300000000175418, 3.6999999934958687]",6,2.0881875481574017e-15
cubic_4.2_8.5_-0.9_32.csv,150,32,"[4.2, 8.5, -0.9, 3.0]","[4.2000000000116025, 8.500000001067008, -0.9000000002646145, 2.999999983600184]",6,1.3998001231271318e-14
cubic_4.5_-0.8_-8.5_5.csv,24,5,"[4.5, -0.8, -8.5, -4.0]","[4.49999999992886, -0.8000000014650381, -8.499999998688912, -3.9999999757251468]",9,4.512631892643581e-15
cubic_4.7_4.4_-3.9_10.csv,50,10,"[4.7, 4.4, -3.9, 7.8]","[4.700000000099897, 4.400000001295718, -3.900000001823691, 7.79999997972087]",7,7.258208432003432e-15
cubic_5.3_5.3_-7.3_15.csv,70,15,"[5.3, 5.3, -7.3, 2.3]","[5.299999999968684, 5.299999998585714, -7.299999999345506, 2.3000000226981525]",7,1.2335719734088731e-14
cubic_5.4_1.0_9.7_21.csv,98,21,"[5.4, 1.0, 9.7, 6.6]","[5.400000000089608, 0.9999999992370786, 9.699999998573054, 6.600000011292547]",7,4.451289324322422e-15
cubic_5.5_-7.9_-8.2_22.csv,106,22,"[5.5, -7.9, -8.2, -1.9]","[5.500000000010944, -7.899999999886674, -8.200000000160328, -1.9000000016036604]",6,9.223276039254894e-17
cubic_5.6_6.6_3.2_18.csv,85,18,"[5.6, 6.6, 3.2, -8.2]","[5.600000000000875, 6.600000001330986, 3.2000000000378983, -8.20000002165801]",6,1.3507230298778872e-14
cubic_5.6_7.1_2.7_14.csv,69,14,"[5.6, 7.1, 2.7, -9.6]","[5.599999999984814, 7.099999999654012, 2.700000000238654, -9.59999999471516]",7,7.223324590501543e-16
cubic_5.7_-9.3_-4.5_7.csv,31,7,"[5.7, -9.3, -4.5, 2.6]","[5.700000000073418, -9.299999998642368, -4.500000001474665, 2.599999978553752]",8,4.747133380792418e-15
cubic_5.8_2.1_-7.1_28.csv,134,28,"[5.8, 2.1, -7.1, 3.7]","[5.79999999999684, 2.0999999998888903, -7.099999999947744, 3.700000001724123]",6,1.4954252404595285e-16
cubic_5.8_5.1_6.2_14.csv,68,14,"[5.8, 5.1, 6.2, 0.9]","[5.79999999999341, 5.0999999995961645, 6.200000000121911, 0.9000000058157575]",7,8.085421831260805e-16
cubic_6.3_-0.6_5.9_16.csv,75,16,"[6.3, -0.6, 5.9, 4.4]","[6.3000000000040925, -0.5999999996492791, 5.899999999970197, 4.399999994506629]",7,7.634019670428914e-16
cubic_6.4_5.8_-5.0_12.csv,58,12,"[6.4, 5.8, -5.0, 9.1]","[6.399999999908234, 5.800000001185275, -4.999999999105289, 9.09999998398614]",7,5.144893087588157e-15
cubic_6.5_-1.5_4.7_22.csv,104,22,"[6.5, -1.5, 4.7, -3.3]","[6.499999999998862, -1.5000000000778302, 4.700000000003024, -3.299999998837761]",7,5.059720293080388e-17
cubic_6.8_-9.2_-2.4_6.csv,29,6,"[6.8, -9.2, -2.4, 6.7]","[6.800000000045779, -9.199999999622552, -2.4000000007290856, 6.69999999433848]",8,3.0129201693313386e-16
cubic_7.0_9.2_-4.7_6.csv,28,6,"[7.0, 9.2, -4.7, -4.0]","[7.0000000000989635, 9.199999998680747, -4.700000001975744, -3.9999999773053934]",8,5.0108654984788325e-15
cubic_7.1_-9.0_9.4_16.csv,78,16,"[7.1, -9.0, 9.4, -2.5]","[7.100000000022284, -9.000000000571708, 9.399999999518826, -2.4999999910535156]",7,2.2149612294529125e-15
cubic_7.5_1.5_-0.9_8.csv,40,8,"[7.5, 1.5, -0.9, 8.8]","[7.500000000009779, 1.5000000002568867, -0.900000000122864, 8.79999999591196]",8,2.520156732431031e-16
cubic_7.6_5.6_-0.7_7.csv,35,7,"[7.6, 5.6, -0.7, -5.3]","[7.600000000037138, 5.599999999755894, -0.7000000006327348, -5.299999996312657]",8,1.7049829541534041e-16
cubic_7.7_-10.0_-6.1_10.csv,48,10,"[7.7, -10.0, -6.1, 6.7]","[7.699999999899751, -9.999999997729548, -6.099999997973261, 6.699999963044172]",7,2.1949830024661398e-14
cubic_7.8_2.8_5.4_25.csv,121,25,"[7.8, 2.8, 5.4, 2.9]","[7.79999999993863, 2.80000000142425, 5.400000000913957, 2.899999978555667]",6,1.964301285392225e-14
cubic_7.9_-4.0_2.3_29.csv,139,29,"[7.9, -4.0, 2.3, 1.7]","[7.9000000000016275, -4.000000000043533, 2.2999999999684153, 1.700000000660892]",6,2.2488473473424652e-17
cubic_7.9_-9.5_2.2_24.csv,112,24,"[7.9, -9.5, 2.2, 0.6]","[7.899999999990959, -9.499999999818499, 2.2000000001860673, 0.5999999971653767]",6,3.0149595278337886e-16
cubic_8.2_0.5_-1.0_21.csv,98,21,"[8.2, 0.5, -1.0, -9.5]","[8.199999999982662, 0.500000000319854, -0.9999999996953608, -9.50000000482218]",6,7.765303290888609e-16
cubic_8.8_-3.3_3.0_31.csv,149,31,"[8.8, -3.3, 3.0, 2.4]","[8.799999999995999, -3.299999999534823, 3.000000000046644, 2.399999992930927]",6,2.54301930402387e-15
cubic_8.8_5.9_-6.5_27.csv,129,27,"[8.8, 5.9, -6.5, 1.2]","[8.799999999992934, 5.899999999356341, -6.4999999999665645, 1.2000000096054906]",6,4.443198658873247e-15
cubic_9.0_-7.8_-3.0_5.csv,25,5,"[9.0, -7.8, -3.0, -6.7]","[8.99999999994211, -7.8000000010544905, -2.9999999990606754, -6.699999982993667]",8,2.4306204526478944e-15
cubic_9.1_9.5_-7.6_4.csv,21,4,"[9.1, 9.5, -7.6, 9.7]","[10.401830295957435, 3.6737666046284563, -10.785896872502954, 24.635854576632525]",7,2872.0195283913217
cubic_9.5_1.0_-7.1_27.csv,128,27,"[9.5, 1.0, -7.1, 6.5]","[9.499999999990692, 1.0000000005378313, -7.0999999998618835, 6.4999999916625235]",6,3.0852352155162247e-15
cubic_9.8_4.0_0.4_8.csv,38,8,"[9.8, 4.0, 0.4, -8.0]","[9.79999999972898, 3.9999999967250375, 0.40000000463584756, -7.999999948189728]",7,3.704560919291146e-14
